version	accession	release_classification	built_classification	unresolved_reason	virus_type	country	collection_date
AY017248.1	AY017248	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AY017249.1	AY017249	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AY017250.1	AY017250	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AY017251.1	AY017251	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AY017252.1	AY017252	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AY017253.1	AY017253	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AY017254.1	AY017254	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1992
AY017255.1	AY017255	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017256.1	AY017256	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017257.1	AY017257	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017258.1	AY017258	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017259.1	AY017259	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AY017260.1	AY017260	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1991
AY017261.1	AY017261	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017262.1	AY017262	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017263.1	AY017263	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY017264.1	AY017264	wild		too_little_vp1_compared_to_measure_divergence	PV1	China	1993
AY056638.1	AY056638	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY056676.1	AY056676	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY056680.1	AY056680	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY056684.1	AY056684	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY056685.1	AY056685	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY056686.1	AY056686	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY056726.1	AY056726	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY056734.1	AY056734	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY056758.1	AY056758	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY056759.1	AY056759	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY056760.1	AY056760	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY056764.1	AY056764	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY082674.1	AY082674	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY082680.1	AY082680	wild	VDPV		PV2		
AY082684.1	AY082684	wild	Sabin-like		PV3		
AY082685.2	AY082685	wild	VDPV		PV3		
AY082689.1	AY082689	wild	Sabin-like		PV1		
AY082690.1	AY082690	wild	VDPV		PV1		
AY211501.1	AY211501	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY211502.1	AY211502	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY319477.1	AY319477	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1996
AY320415.1	AY320415	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1996
AY320416.1	AY320416	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1996
AY320417.1	AY320417	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1996
AY320418.1	AY320418	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1996
AY320419.1	AY320419	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1997
AY321484.1	AY321484	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1996
AY321485.1	AY321485	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	1996
AY321486.1	AY321486	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	2000
AY323842.1	AY323842	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY323843.1	AY323843	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY323844.1	AY323844	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY323845.1	AY323845	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY323846.1	AY323846	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY323847.1	AY323847	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY323848.1	AY323848	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY323849.1	AY323849	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY323850.1	AY323850	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY323851.1	AY323851	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY323852.1	AY323852	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY365234.1	AY365234	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	2000
AY365235.1	AY365235	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1996
AY365237.1	AY365237	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1996
AY365239.1	AY365239	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1996
AY365240.1	AY365240	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1996
AY365241.1	AY365241	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1996
AY365242.1	AY365242	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	1996
AY365244.1	AY365244	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	
AY560657.1	AY560657	wild	VDPV		PV1		
AY956405.1	AY956405	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY956406.1	AY956406	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY956407.1	AY956407	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY960848.1	AY960848	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY960849.1	AY960849	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY960850.1	AY960850	wild		too_little_vp1_compared_to_measure_divergence	PV1		1996
AY962577.1	AY962577	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY962578.1	AY962578	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY962579.1	AY962579	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY962580.1	AY962580	wild		too_little_vp1_compared_to_measure_divergence	PV1		
AY962581.1	AY962581	wild		too_little_vp1_compared_to_measure_divergence	PV1	Greece	1996
AY962582.1	AY962582	wild		too_little_vp1_compared_to_measure_divergence	PV1	Greece	1996
AY962583.1	AY962583	wild		too_little_vp1_compared_to_measure_divergence	PV1	Greece	1996
AY962584.1	AY962584	wild		too_little_vp1_compared_to_measure_divergence	PV1	Greece	1996
AY962585.1	AY962585	wild		too_little_vp1_compared_to_measure_divergence	PV1	Greece	
AY962586.1	AY962586	wild		too_little_vp1_compared_to_measure_divergence	PV1	Greece	
AY962587.1	AY962587	wild		too_little_vp1_compared_to_measure_divergence	PV1	Greece	
AY962588.1	AY962588	wild		too_little_vp1_compared_to_measure_divergence	PV1	Greece	
D00257.1	D00257	wild		too_little_vp1_compared_to_measure_divergence	PV1		
D00258.1	D00258	wild		too_little_vp1_compared_to_measure_divergence	PV3		
D00260.1	D00260	wild		too_little_vp1_compared_to_measure_divergence	PV1		
D00261.1	D00261	wild		too_little_vp1_compared_to_measure_divergence	PV1		
D00262.1	D00262	wild		too_little_vp1_compared_to_measure_divergence	PV3		
D00263.1	D00263	wild		too_little_vp1_compared_to_measure_divergence	PV3		
DD214217.1	DD214217	wild		follows_unresolved_virus_group	PV2		
EU004574.1	EU004574	cVDPV	Sabin-like		PV2	Jamaica	2005
EU004575.1	EU004575	cVDPV		too_little_vp1_compared_to_measure_divergence	PV2	Jamaica	2005
EU049849.1	EU049849	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	
EU049850.1	EU049850	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	
EU049851.1	EU049851	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	
EU049852.1	EU049852	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	
EU049853.1	EU049853	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	
EU049854.1	EU049854	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	
EU049855.1	EU049855	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	
EU049856.1	EU049856	wild		too_little_vp1_compared_to_measure_divergence	PV1	India	
EU566934.1	EU566934	iVDPV	VDPV		PV2	Spain	
EU566935.1	EU566935	iVDPV	VDPV		PV2	Spain	
EU566936.1	EU566936	iVDPV	VDPV		PV2	Spain	
EU566937.1	EU566937	iVDPV	VDPV		PV2	Spain	
EU566938.1	EU566938	iVDPV	VDPV		PV2	Spain	
EU566939.1	EU566939	iVDPV	VDPV		PV2	Spain	
EU566940.1	EU566940	iVDPV	VDPV		PV2	Spain	
EU566941.1	EU566941	iVDPV	VDPV		PV2	Spain	
EU566942.1	EU566942	iVDPV	VDPV		PV2	Spain	
EU566943.1	EU566943	iVDPV	VDPV		PV2	Spain	
EU566944.1	EU566944	iVDPV	VDPV		PV2	Spain	
EU566945.1	EU566945	iVDPV	VDPV		PV2	Spain	
EU566946.1	EU566946	iVDPV	VDPV		PV2	Spain	
EU566947.1	EU566947	iVDPV	VDPV		PV2	Spain	
EU566948.1	EU566948	iVDPV	VDPV		PV2	Spain	
EU566949.1	EU566949	iVDPV	VDPV		PV2	Spain	
EU566950.1	EU566950	iVDPV	VDPV		PV2	Spain	
EU684056.1	EU684056	iVDPV	VDPV		PV3	Iran	2006-12-21
EU684057.1	EU684057	iVDPV	VDPV		PV3	Iran	2006-12-18
FJ839688.1	FJ839688	wild		too_little_vp1_compared_to_measure_divergence	PV3	Switzerland	1980
FJ842182.1	FJ842182	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842183.1	FJ842183	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842184.1	FJ842184	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842185.1	FJ842185	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842186.1	FJ842186	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842187.1	FJ842187	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842188.1	FJ842188	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842189.1	FJ842189	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842190.1	FJ842190	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842191.1	FJ842191	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842192.1	FJ842192	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842193.1	FJ842193	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842194.1	FJ842194	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842195.1	FJ842195	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842196.1	FJ842196	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842197.1	FJ842197	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842198.1	FJ842198	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842199.1	FJ842199	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842200.1	FJ842200	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842201.1	FJ842201	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842202.1	FJ842202	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842203.1	FJ842203	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842204.1	FJ842204	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842205.1	FJ842205	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842206.1	FJ842206	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842207.1	FJ842207	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842208.1	FJ842208	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842209.1	FJ842209	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842210.1	FJ842210	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842211.1	FJ842211	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842212.1	FJ842212	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842213.1	FJ842213	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842214.1	FJ842214	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842215.1	FJ842215	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842216.1	FJ842216	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842217.1	FJ842217	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842218.1	FJ842218	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842219.1	FJ842219	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842220.1	FJ842220	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842221.1	FJ842221	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842222.1	FJ842222	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842223.1	FJ842223	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842224.1	FJ842224	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842225.1	FJ842225	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842226.1	FJ842226	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842227.1	FJ842227	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842228.1	FJ842228	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842229.1	FJ842229	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842230.1	FJ842230	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842231.1	FJ842231	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842232.1	FJ842232	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842233.1	FJ842233	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842234.1	FJ842234	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842235.1	FJ842235	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842236.1	FJ842236	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842237.1	FJ842237	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842238.1	FJ842238	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842239.1	FJ842239	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842240.1	FJ842240	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842241.1	FJ842241	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842242.1	FJ842242	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842243.1	FJ842243	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842244.1	FJ842244	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842245.1	FJ842245	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842246.1	FJ842246	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842247.1	FJ842247	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842248.1	FJ842248	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842249.1	FJ842249	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842250.1	FJ842250	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842251.1	FJ842251	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842252.1	FJ842252	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842253.1	FJ842253	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842254.1	FJ842254	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842255.1	FJ842255	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842256.1	FJ842256	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842257.1	FJ842257	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842258.1	FJ842258	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842259.1	FJ842259	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
FJ842260.1	FJ842260	wild		too_little_vp1_compared_to_measure_divergence	PV3	Finland	1984
GU906272.1	GU906272	wild		too_little_vp1_compared_to_measure_divergence	PV3	Kenya	2008-04-29
HC025129.1	HC025129	wild		follows_unresolved_virus_group	PV1		
JC013131.1	JC013131	wild		too_little_vp1_compared_to_measure_divergence	PV2		
JF313097.1	JF313097	cVDPV	VDPV		PV2	Nigeria	2008
JF313098.1	JF313098	cVDPV	VDPV		PV2	Nigeria	2008
JF896198.1	JF896198	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	2009
JF896200.1	JF896200	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	2009
JF896210.1	JF896210	wild		too_little_vp1_compared_to_measure_divergence	PV3	India	2009
JN393078.1	JN393078	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1995
JN393079.1	JN393079	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1995
JN393080.1	JN393080	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393081.1	JN393081	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393082.1	JN393082	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393083.1	JN393083	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393084.1	JN393084	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393085.1	JN393085	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393086.1	JN393086	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393087.1	JN393087	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393088.1	JN393088	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1997
JN393089.1	JN393089	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1997
JN393090.1	JN393090	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393091.1	JN393091	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393092.1	JN393092	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393093.1	JN393093	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393094.1	JN393094	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2000
JN393095.1	JN393095	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393096.1	JN393096	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393097.1	JN393097	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1999
JN393098.1	JN393098	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393099.1	JN393099	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393100.1	JN393100	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393101.1	JN393101	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393102.1	JN393102	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393103.1	JN393103	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393104.1	JN393104	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393105.1	JN393105	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393106.1	JN393106	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393107.1	JN393107	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393108.1	JN393108	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393109.1	JN393109	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393110.1	JN393110	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393111.1	JN393111	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393112.1	JN393112	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393113.1	JN393113	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393114.1	JN393114	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393115.1	JN393115	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393116.1	JN393116	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393117.1	JN393117	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393118.1	JN393118	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393119.1	JN393119	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393120.1	JN393120	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393121.1	JN393121	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393122.1	JN393122	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393123.1	JN393123	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393124.1	JN393124	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393125.1	JN393125	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393126.1	JN393126	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393127.1	JN393127	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393128.1	JN393128	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393129.1	JN393129	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393130.1	JN393130	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393131.1	JN393131	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393132.1	JN393132	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393133.1	JN393133	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393134.1	JN393134	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393135.1	JN393135	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393136.1	JN393136	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393137.1	JN393137	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393138.1	JN393138	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393139.1	JN393139	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393140.1	JN393140	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393141.1	JN393141	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2008
JN393142.1	JN393142	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1995
JN393143.1	JN393143	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1995
JN393144.1	JN393144	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393145.1	JN393145	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393146.1	JN393146	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393147.1	JN393147	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393148.1	JN393148	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393149.1	JN393149	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393150.1	JN393150	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393151.1	JN393151	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1996
JN393152.1	JN393152	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1997
JN393153.1	JN393153	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1997
JN393154.1	JN393154	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2000
JN393155.1	JN393155	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393156.1	JN393156	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393157.1	JN393157	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393158.1	JN393158	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393159.1	JN393159	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393160.1	JN393160	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393161.1	JN393161	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393162.1	JN393162	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393163.1	JN393163	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393164.1	JN393164	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393165.1	JN393165	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393166.1	JN393166	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1999
JN393167.1	JN393167	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393168.1	JN393168	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393169.1	JN393169	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393170.1	JN393170	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393171.1	JN393171	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393172.1	JN393172	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393173.1	JN393173	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	1998
JN393174.1	JN393174	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393175.1	JN393175	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393176.1	JN393176	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393177.1	JN393177	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393178.1	JN393178	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393179.1	JN393179	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393180.1	JN393180	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393181.1	JN393181	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393182.1	JN393182	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
JN393183.1	JN393183	wild		too_little_vp1_compared_to_measure_divergence	PV1	Ghana	2003
